gene_name,04_AD_15_NL,01_AD_12_NL,01_AD_10_NL,05_AD_25_LS,02_AD_22_LS,02_CO_48,03_AD_23_LS,01_AD_13_NL,05_AD_25_NL,01_AD_26_LS,04_CO_33,01_AD_22_LS,04_AD_06_LS,05_AD_15_NL,01_AD_26_NL,05_AD_22_LS,01_CO_41,04_AD_15_LS,05_AD_12_NL,01_AD_12_LS,03_CO_33,01_AD_13_LS,05_AD_12_LS,04_CO_56,03_CO_56,05_AD_02_NL,01_AD_10_LS,04_AD_13_NL,03_CO_43,01_AD_22_NL,01_AD_01_LS,01_AD_01_NL,03_AD_23_NL,01_CO_45,05_AD_15_LS,05_AD_22_NL,03_CO_54,02_AD_22_NL,04_AD_13_LS,04_AD_06_NL,05_AD_02_LS,01_CO_48,01_AD_17_LS,01_AD_23_NL,01_CO_55,05_CO_56,05_AD_06_NL,01_AD_11_LS,01_CO_51,05_CO_39,01_CO_57,01_AD_14_NL,01_AD_17_NL,05_CO_46,01_AD_05_NL,02_AD_25_LS,02_AD_15_NL,01_AD_21_NL,01_AD_14_LS,05_CO_45,05_CO_52,01_AD_06_LS,01_CO_31,03_AD_02_NL,05_CO_42,01_AD_07_NL,01_AD_07_LS,01_AD_23_LS,03_AD_02_LS,01_AD_21_LS,01_AD_18_LS,01_AD_18_NL,01_AD_11_NL,02_AD_25_NL,01_AD_05_LS,02_CO_43,01_AD_06_NL,05_AD_06_LS,02_AD_15_LS,05_CO_53,03_AD_12_NL,02_CO_46,02_AD_12_NL,01_CO_42,02_AD_09_LS,01_AD_27_LS,03_AD_22_NL,01_CO_58,03_CO_39,01_AD_20_NL,05_AD_16_LS,01_AD_28_NL,01_AD_15_NL,03_CO_48,01_AD_04_LS,01_AD_20_LS,01_AD_28_LS,01_CO_56,01_CO_60,03_CO_46,03_AD_22_LS,01_CO_32,01_AD_25_NL,02_AD_12_LS,03_CO_42,05_AD_16_NL,02_CO_42,01_CO_54,01_AD_27_NL,03_AD_15_LS,01_AD_15_LS,01_AD_04_NL,03_AD_12_LS,02_AD_09_NL,03_AD_15_NL,01_CO_33,01_AD_25_LS,01_CO_44,01_AD_19_NL,02_CO_54,02_CO_52,03_AD_25_NL,04_AD_25_NL,02_AD_16_LS,05_AD_13_NL,03_AD_25_LS,01_AD_02_LS,02_AD_11_LS,01_AD_30_LS,01_CO_47,01_CO_46,01_AD_02_NL,01_CO_50,05_CO_43,01_CO_43,01_AD_19_LS,01_AD_29_LS,05_AD_13_LS,01_AD_24_NL,02_AD_23_LS,03_AD_13_NL,03_AD_13_LS,02_CO_45,01_AD_24_LS,04_CO_54,01_AD_30_NL,02_AD_17_LS,02_AD_17_NL,02_AD_16_NL,01_AD_03_LS,02_AD_02_NL,02_AD_02_LS,01_AD_29_NL,04_AD_25_LS,01_AD_03_NL,02_AD_23_NL,04_CO_48,04_AD_22_NL,05_CO_48,04_AD_12_LS,04_CO_42,03_AD_06_NL,01_CO_59,03_CO_52,02_AD_13_LS,03_AD_06_LS,05_AD_23_NL,01_CO_52,04_CO_52,02_AD_13_NL,02_AD_06_NL,04_CO_43,01_CO_36,01_CO_49,04_AD_22_LS,04_AD_02_NL,01_CO_53,04_CO_45,03_AD_16_NL,03_AD_16_LS,04_AD_23_NL,02_CO_56,05_CO_54,01_AD_08_LS,01_AD_08_NL,04_AD_02_LS,03_CO_45,02_AD_14_NL,02_AD_14_LS,04_CO_46,04_AD_12_NL,04_AD_23_LS,02_AD_06_LS,02_CO_41
LAP3,0,0,0,577,3,0,0,24,79,0,0,0,56,386,36,236,0,1,23,0,0,11,171,268,0,0,0,72,0,0,0,0,0,0,2,0,0,680,6,15,5,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,389,558,0,0,13,0,0,0,0,0,0,0,117,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,364,0,1,0,0,0,0,121,2,0,397,0,0,0,0,0,0,0,0,0,124,0,1,0,0,539,0,8,0,20,71,3,0,1,0,74,3990,0,0,302,0,0,0,0,1,0,0,162,21,0,6,1,10,0,0,1,0,2649,0,22,0,113,0,43,0,0,92,61,242,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,108,0,31,0,22,9,0,0,0,270,0
M6PR,0,0,6,16,3,0,0,0,2,0,0,0,8,0,0,11,0,0,0,0,0,1,8,0,0,0,7,9,0,0,3,0,0,0,2,0,0,13,4,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,66,0,14,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,6,36,0,68,0,0,0,0,0,0,0,0,0,20,0,0,0,0,189,0,0,0,0,13,0,0,0,0,0,34,0,0,28,0,0,0,0,0,0,0,0,16,0,0,0,0,3,0,0,0,18,0,3,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,18,285,0,0,0,0,0,0,0,136,0,0,0,9,109,0,0,0,112,0
CFLAR,0,0,1,181,61,0,1,0,36,0,0,59,158,34,0,456,0,0,0,0,0,25,657,36,0,0,201,38,0,0,25,0,0,0,4,0,0,75,13,0,0,1,3,0,0,0,13,366,0,3,1,0,0,2,0,0,276,144,190,0,717,1,0,0,0,0,0,0,17,0,0,0,0,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,122,0,0,0,1,0,0,557,506,2,973,0,0,1,0,0,0,0,0,0,652,0,0,46,0,497,0,0,0,0,1648,1,0,0,0,1,869,0,95,2567,1,383,0,5,152,0,0,48,596,0,2,0,0,0,1,0,0,1,0,22,1,93,0,3,0,12,0,0,1114,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,999,0,1,0,2,464,18,0,0,1189,0
RBM5,0,0,0,102,36,0,0,0,0,0,0,0,4,7,1,0,0,0,0,0,0,7,44,0,0,0,88,0,0,0,1,0,0,0,4,0,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,260,308,0,0,677,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,82,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,3,0,6,0,0,0,0,120,0,0,0,0,103,0,0,0,0,1,59,0,144,54,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,3,0,14,0,0,102,3,0,0,182,0
RBM6,0,0,0,289,92,0,4,0,0,0,0,11,14,87,0,1,0,0,0,0,0,0,92,0,3,0,0,2,0,0,0,0,0,0,3,40,0,77,18,14,0,0,0,0,0,0,0,66,0,11,0,0,0,0,0,0,4,25,291,0,77,0,0,0,0,0,0,0,146,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,194,0,77,0,0,0,0,0,0,353,0,0,0,0,0,0,8,289,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,97,0,0,0,0,14,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,46,0,5,0,0,0,0,0,0,0,1,35,0,0,0,0,27,0,0,82,254,0,0,0,0,0,0,0,340,0,0,0,0,504,0,0,0,91,0
PRSS22,0,0,0,3,1,0,0,0,6,0,0,7,75,2,0,50,0,0,0,0,0,6,40,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,35,0,0,0,0,44,0,0,0,0,1,0,0,0,0,114,0,0,17,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,38,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,31,6,0,4,0,1,0,0,0,0,0,19,0,61,0,0,0,0,25,0,0,0,0,40,0,0,0,1,0,33,0,0,92,6,3,0,1,9,0,0,0,102,0,0,1,0,0,0,0,0,6,0,4,0,6,0,15,0,0,1,3,94,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,0,0,0,0,27,8,0,0,69,0
SLC25A5,0,0,1,838,104,1,64,0,6,0,0,43,113,104,0,1226,41,0,33,0,0,112,972,0,41,0,26,65,0,0,88,35,0,0,18,0,0,675,136,0,0,0,0,0,0,2,0,767,0,313,0,0,0,0,0,1,799,443,0,0,673,0,0,0,1,0,0,0,189,0,0,0,0,0,12,0,0,0,0,0,0,5,0,0,0,93,0,0,0,2143,3,0,0,0,0,80,0,1,953,0,0,0,0,0,0,658,565,0,465,0,1,1,0,0,0,0,37,0,371,1,0,0,1,5084,0,0,2,0,808,0,0,1,58,0,1677,0,377,1478,0,0,0,4,4,0,0,8,89,0,56,1,142,0,0,0,0,530,1,207,113,21,0,0,0,1,1,0,981,0,0,2,0,142,0,0,138,747,0,1,17,0,0,0,0,746,0,0,135,74,675,0,0,0,746,0
DHX33,0,0,0,1,1,0,0,0,0,1,0,2,1,0,0,6,0,0,0,0,0,5,1,1,0,0,46,0,0,0,1,0,0,0,0,0,0,41,3,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,8,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,97,4,0,8,0,0,0,0,0,0,0,1,0,15,0,0,0,0,4,0,0,0,0,3,0,0,0,1,0,6,0,0,6,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4,0,2,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0
KMT2E,0,0,0,240,82,0,0,0,58,29,0,10,2,90,0,64,0,0,0,0,0,40,109,0,0,30,108,77,0,0,3,0,0,3,67,0,0,96,33,0,0,0,0,0,0,0,0,134,0,0,0,0,129,0,0,0,610,284,151,2,341,0,0,0,0,0,0,0,23,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,40,0,56,74,0,0,0,0,0,0,95,256,0,126,0,0,4,0,0,0,0,2,2,223,0,0,9,0,464,0,0,0,0,137,2,0,0,0,0,514,0,5,150,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,16,0,8,0,0,0,0,0,0,16,0,242,0,0,0,0,0,170,0,2,5,0,0,0,0,0,0,0,398,0,1,0,0,796,0,0,0,514,0
LAMP2,0,0,0,410,13,0,0,0,0,0,1,13,65,55,0,188,0,0,0,0,0,0,112,0,0,0,24,1,0,0,0,0,0,0,24,0,0,80,99,42,0,0,0,0,0,0,0,329,0,0,0,0,1,0,0,0,862,0,0,0,49,0,0,0,0,0,0,0,9,0,0,0,1,152,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,165,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,285,109,0,143,0,1,1,0,0,0,0,0,1,4,0,0,0,0,256,0,9,0,0,2,3,0,0,0,0,1191,0,0,102,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,186,0,20,0,15,0,0,0,0,0,0,6,1,0,0,0,140,0,0,97,29,0,0,0,0,0,0,0,356,0,0,0,0,68,1,0,0,493,0
